symbol,onboardDate,weightedAvgPrice,money,tick_size,bp,closeTime
RUNEUSDT,20190925160000,6.7531,75938554.3769067,0.001,1.480801409722942,1734507353250
LDOUSDT,20220921150000,2.1273,74377449.74812199,0.0001,0.470079443425939,1734507352357
ARKMUSDT,20230728104500,1.9269987,73501894.10950999,0.0001,0.5189417097167736,1734507350999
MKRUSDT,20190925160000,1801.29,65603347.98864198,0.1,0.5551576925425667,1734507350418
STRKUSDT,20240221010000,0.5958366,64903171.83761053,0.0001,1.6783124769441824,1734507351208
CKBUSDT,20230227150000,0.0129598,62144112.06527147,1e-06,0.7716168459389805,1734507352999
MEMEUSDT,20231103200000,0.0127032,56406148.76913904,1e-06,0.7872032243844072,1734507351164
RSRUSDT,20190925160000,0.013507,55953236.33340367,1e-06,0.7403568520026652,1734507351106
ICPUSDT,20210730150000,12.359117,55945609.47751335,0.001,0.8091192922601186,1734507351718
STMXUSDT,20210317150000,0.00697,55107888.565755025,1e-05,14.34720229555237,1734507353070
ARUSDT,20210928150000,20.712,54871883.76219268,0.001,0.4828118964851294,1734507350882
SUSHIUSDT,20190925160000,1.9563,52215064.769396,0.0001,0.5111690436027195,1734507353300
ARKUSDT,20230919223000,0.5826099,50664319.71646866,0.0001,1.716414362337475,1734507352995
MANAUSDT,20210314150000,0.5856,49893155.82068133,0.0001,1.7076502732240437,1734507351304
STORJUSDT,20190925160000,0.5401,49205737.35538468,0.0001,1.8515089798185522,1734507350359
WUSDT,20240403233000,0.3198196,48619033.773845546,1e-05,0.3126762712479161,1734507353265
CFXUSDT,20230219150000,0.1950192,48450553.11876347,1e-05,0.5127700246950044,1734507350403
THETAUSDT,20190925160000,2.6873,47155415.89093351,0.0001,0.37212071596025753,1734507352008
ALTUSDT,20240125220000,0.1541438,46900168.698436074,1e-05,0.648744873293639,1734507350362
CHZUSDT,20210121150000,0.10534,46882493.08856613,1e-05,0.9493070058857035,1734507350371
XVGUSDT,20230705200000,0.0137047,45479883.599556945,1e-07,0.07296766802629755,1734507351718
BBUSDT,20240513203000,0.4743998,43095152.785045326,1e-05,0.21079266896824156,1734507351662
BLURUSDT,20230427080000,0.344124,42901158.44862559,1e-05,0.29059292580581425,1734507351345
GMTUSDT,20220314150000,0.17415,42773766.6170552,1e-05,0.5742176284811944,1734507352796
ZECUSDT,20190925160000,55.99,42609790.96303913,0.01,1.7860332202178961,1734507352998
IOTAUSDT,20190925160000,0.3765,42213923.28629681,0.0001,2.6560424966799467,1734507350348
PYTHUSDT,20231122223000,0.4557655,42052196.023791805,1e-05,0.219411078723598,1734507353065
BNXUSDT,20230222150000,0.495385,41482180.81011045,0.0001,2.0186319731118223,1734507350384
XTZUSDT,20190925160000,1.488,41384577.03880599,0.001,6.720430107526882,1734507352806
AXSUSDT,20190925160000,7.37016,41235725.33334001,0.001,1.3568226469981655,1734507353384
CELOUSDT,20210926150000,0.792,40894215.184121326,0.001,12.626262626262625,1734507353468
SXPUSDT,20190925160000,0.3498,40631304.63601808,0.0001,2.858776443682104,1734507353256
VETUSDT,20190925160000,0.057187,40250966.98258164,1e-06,0.17486491685173203,1734507353305
AEVOUSDT,20240313213000,0.4741362,40166938.25236756,0.0001,2.1090986092181954,1734507352984
DARUSDT,20220428150000,0.1785,39845074.06483284,0.0001,5.602240896358544,1734507353029
RDNTUSDT,20230404080000,0.0722751,37549505.76788107,1e-05,1.3836023748151165,1734507350370
GRTUSDT,20201218150000,0.26449,36743604.31120226,1e-05,0.37808612801996294,1734507351824
XAIUSDT,20240109220000,0.3018391,35871847.63689333,1e-05,0.33130233955773125,1734507350360
PIXELUSDT,20240219230000,0.2126605,34913001.84803921,1e-05,0.4702330710216519,1734507350367
KSMUSDT,20190925160000,36.507,34711841.00858332,0.001,0.273920070123538,1734507352810
SUPERUSDT,20231126210000,1.8905724,34443422.47563935,0.0001,0.5289403357417045,1734507350382
DYMUSDT,20240207150000,1.874999,33314741.492551714,0.0001,0.5333336177779295,1734507339876
TNSRUSDT,20240409010000,0.5747094,33246021.00800301,0.0001,1.7400098206154277,1734507350382
IMXUSDT,20220210150000,1.7337,30902387.55114933,0.0001,0.5768010613139528,1734507351194
AUCTIONUSDT,20231215210000,19.300768,30720626.064286206,0.001,0.5181140978431532,1734507351208
NEOUSDT,20190925160000,17.471,30702016.82546746,0.001,0.5723770820216358,1734507350507
BAKEUSDT,20210518150000,0.3207,29798220.073564675,0.0001,3.1181789834736517,1734507347636
COMPUSDT,20190925160000,101.29,29389680.9644314,0.01,0.9872642906506072,1734507351471
GLMUSDT,20240222180000,0.4179029,28836760.199142583,1e-05,0.23929003603468652,1734507353150
REZUSDT,20240430220000,0.0481997,28696957.829759985,1e-05,2.0747017097616793,1734507351453
YGGUSDT,20230805113000,0.617036,28277481.55778201,0.0001,1.6206509830868863,1734507350353
ZRXUSDT,20190925160000,0.5686,27710420.74907087,0.0001,1.7587055926837847,1734507353223
FLOWUSDT,20220209150000,0.885,27662322.463167995,0.001,11.299435028248588,1734507350364
MANTAUSDT,20240118220000,1.0210837,27481893.777289,0.0001,0.9793516437486957,1734507350399
ACEUSDT,20231218180000,2.512084,27288122.360947892,0.0001,0.3980758605205877,1734507347662
AMBUSDT,20230329080000,0.0094985,26804580.82309329,1e-06,1.0527978101805548,1734507351345
1INCHUSDT,20201225150000,0.4721,26675598.473092664,0.0001,2.1181952976064395,1734507353356
UMAUSDT,20230509080000,3.357624,26367440.89244666,0.001,2.9782965573274436,1734507352957
BEAMXUSDT,20231117213000,0.0311267,26333830.74901411,1e-06,0.32126759341658445,1734507353359
AGLDUSDT,20230729103000,1.3291685,25737858.31737734,0.0001,0.7523500594544634,1734507351447
MINAUSDT,20230203150000,0.7667881,25690535.44806333,0.0001,1.3041412614515016,1734507352333
COTIUSDT,20210309150000,0.15048,25626159.387294877,1e-05,0.6645401382243488,1734507350365
AIUSDT,20240108203000,0.623793,25437638.348501414,1e-05,0.1603095898799762,1734507353117
ALPHAUSDT,20190925160000,0.10502,25361980.28535291,1e-05,0.9521995810321844,1734507353299
LPTUSDT,20211110150000,15.416,24498564.240322664,0.001,0.6486766995329527,1734507353471
USTCUSDT,20231127203000,0.0222317,24258061.99587121,1e-06,0.44980815682111575,1734507353250
SSVUSDT,20230223150000,27.565262,24146660.717837926,0.001,0.3627754381583603,1734507351361
POLYXUSDT,20231025103000,0.3248879,23597265.0755378,1e-05,0.3077984744892008,1734507350346
CAKEUSDT,20231102204500,3.1407507,23143921.964510668,0.0001,0.31839521678686566,1734507353476
ARPAUSDT,20211018150000,0.05823,22810057.374269474,1e-05,1.7173278378842525,1734507353468
API3USDT,20220221150000,2.0092,22262160.689769864,0.0001,0.49771053155484773,1734507350349
YFIUSDT,20190925160000,10227.6,21537173.62017333,1.0,0.9777464898901013,1734507351072
GASUSDT,20231025104500,5.23488,21303536.477379326,0.001,1.910263463536891,1734507350355
ZENUSDT,20190925160000,14.63,21300165.494100656,0.001,0.683526999316473,1734507351465
AXLUSDT,20240301233000,0.8767794,21212456.88898587,0.0001,1.1405377452983043,1734507351208
LQTYUSDT,20230308150000,2.047534,20320214.242271066,0.0001,0.48839237834390054,1734507351469
OMNIUSDT,20240417220000,11.5025,20264582.184880603,0.001,0.869376222560313,1734507350365
ROSEUSDT,20211231150000,0.10305,19511954.00250613,1e-05,0.9704027171276081,1734507353253
